id_deputado,nome,partido,uf,valor_total,n_despesas,ticket_medio,cluster
62881,Danilo Forte,PP,CE,1127073.6600000001,943,1195.2000636267235,1
66385,Julio Arcoverde,PP,PI,992060.98,364,2725.4422527472525,3
66828,Fausto Pinato,UNIÃO,SP,1008584.21,694,1453.2913688760807,1
69871,Bacelar,PV,BA,1064468.4000000001,360,2956.856666666667,0
72442,Felipe Carreras,PSB,PE,951515.4,973,977.9192189105859,1
73433,Arlindo Chinaglia,PT,SP,1016279.94,697,1458.0773888091821,4
73441,Celso Russomanno,REPUBLICANOS,SP,565074.24,1137,496.98701846965696,4
73486,Pompeo de Mattos,PDT,RS,658049.1499999999,839,784.3255661501787,1
73579,Alberto Fraga,PL,DF,891673.67,123,7249.37943089431,0
73604,Rui Falcão,PT,SP,321475.99,225,1428.7821777777776,1
73692,Osmar Terra,PL,RS,1063922.95,1312,810.9168826219512,2
73701,Benedita da Silva,PT,RJ,925664.0599999998,637,1453.1617896389323,0
73768,Dilceu Sperafico,PP,PR,1077868.44,929,1160.245898815931,0
73778,Luiz Carlos Hauly,PODE,PR,948114.7999999999,788,1203.1913705583756,0
73801,Renildo Calheiros,PCdoB,PE,422137.73,341,1237.9405571847508,1
73808,Sérgio Brito,PSD,BA,8192.5,8,1024.0625,0
74041,Luiz Couto,PT,PB,1060701.8,820,1293.5387804878048,1
74043,Wellington Roberto,PSD,PB,541755.43,210,2579.787761904762,0
74057,Alice Portugal,PCdoB,BA,1034979.5400000002,489,2116.5225766871167,0
74060,Daniel Almeida,PCdoB,BA,1163877.14,402,2895.216766169154,0
74075,Elcione Barbalho,MDB,PA,654940.8499999999,599,1093.3904006677794,1
74079,José Priante,MDB,PA,643575.2999999999,366,1758.4024590163933,4
74084,Raimundo Santos,PSD,PA,533912.2,228,2341.7201754385965,0
74090,Átila Lins,PSD,AM,1132950.29,245,4624.286897959184,4
74156,Leonardo Monteiro,PT,MG,998623.31,567,1761.240405643739,1
74158,Mário Heringer,PDT,MG,808521.3999999999,236,3425.93813559322,4
74160,Patrus Ananias,PT,MG,919267.22,2520,364.78857936507933,2
74161,Reginaldo Lopes,PT,MG,479629.22,446,1075.4018385650224,1
74171,Chico Alencar,PSOL,RJ,996244.23,979,1017.614126659857,0
74253,Julio Lopes,PP,RJ,979934.7200000001,425,2305.7287529411765,1
74262,Carlos Sampaio,PSD,SP,995168.89,832,1196.116454326923,1
74270,Gilberto Nascimento,PODE,SP,1040428.6,323,3221.141176470588,1
74273,Jefferson Campos,PL,SP,989146.83,803,1231.8142341220423,1
74317,Júlio Cesar,PSD,PI,1063792.88,311,3420.5558842443725,0
74371,Rubens Otoni,PT,GO,489158.81,239,2046.6895815899582,1
74374,Geraldo Resende,UNIÃO,MS,1123881.3900000001,303,3709.1795049504954,0
74376,Vander Loubet,PT,MS,532800.39,497,1072.0329778672033,1
74398,Maria do Rosário,PT,RS,1070868.2799999998,2262,473.4165694076038,3
74428,Mendonça Filho,PL,PE,1027867.6299999999,615,1671.3294796747966,1
74454,Eunício Oliveira,MDB,CE,976503.4400000001,134,7287.339104477613,0
74467,Damião Feliciano,UNIÃO,PB,968127.4299999999,247,3919.5442510121457,0
74478,Luciano Bivar,MDB,PE,876737.6900000001,373,2350.5031903485255,0
74537,Claudio Cajado,PP,BA,1026037.0799999998,934,1098.5407708779442,1
74554,José Rocha,UNIÃO,BA,828020.5,539,1536.2161410018552,1
74574,Paulo Magalhães,PSD,BA,421246.35,345,1221.0039130434782,1
74585,Lincoln Portela,PL,MG,990031.3500000002,1027,964.0032619279457,4
74646,Aécio Neves,PSDB,MG,984051.4799999999,722,1362.9521883656507,1
74784,Luiza Erundina,PSOL,SP,920473.02,828,1111.682391304348,2
74848,Jandira Feghali,PCdoB,RJ,943622.6900000001,596,1583.259546979866,1
74856,Laura Carneiro,PSD,RJ,523539.01,675,775.6133481481481,1
74858,Lindbergh Farias,PT,RJ,843987.74,477,1769.3663312368972,1
80815,Leo Prates,REPUBLICANOS,BA,1085770.54,595,1824.82443697479,1
81055,Márcio Jerry,PCdoB,MA,1129163.05,780,1447.644935897436,0
88256,Clodoaldo Magalhães,PV,PE,1112722.5300000003,567,1962.4735978835984,0
91228,Waldemar Oliveira,AVANTE,PE,1204284.9999999998,740,1627.4121621621618,0
92102,Leur Lomanto Júnior,UNIÃO,BA,1017722.8800000001,389,2616.254190231363,0
92699,Fernando Monteiro,PSD,PE,1046547.21,666,1571.392207207207,1
92776,Stefano Aguiar,PSD,MG,504518.98,382,1320.7303141361256,1
98057,Lafayette de Andrada,PL,MG,617955.6799999999,551,1121.5166606170599,1
98148,Cobalchini,MDB,SC,918462.5599999999,1298,707.5982742681048,1
98615,Ismael,PL,SC,1040689.07,1090,954.7606146788991,1
104552,Socorro Neri,PP,AC,529982.02,215,2465.032651162791,0
107283,Gleisi Hoffmann,PT,PR,615515.85,712,864.4885533707865,1
107970,Ana Paula Leão,PP,MG,972937.1799999999,1147,848.2451438535309,2
109429,Benes Leocádio,UNIÃO,RN,1138535.6199999999,957,1189.6923928944618,1
115200,Raniery Paulino,REPUBLICANOS,PB,201253.8,44,4573.95,0
121948,Adriano do Baldy,PP,GO,1046962.5,1141,917.5832602979842,1
122158,Pedro Paulo,PSD,RJ,899069.67,181,4967.235745856354,1
122974,Pedro Lucas Fernandes,UNIÃO,MA,557206.7699999999,325,1714.4823692307689,1
123086,Átila Lira,PP,PI,1015539.75,463,2193.3903887688984,3
123756,Antônia Lúcia,MDB,AC,1140934.6199999999,261,4371.397011494252,0
133439,André Figueiredo,PDT,CE,1009622.9700000001,607,1663.2997858319607,1
133810,Marcelo Moraes,PL,RS,550484.99,723,761.3900276625172,1
136811,Afonso Hamm,PP,RS,1130556.8900000001,1975,572.4338683544305,2
137070,Vicentinho Júnior,PSDB,TO,275826.54,45,6129.478666666666,0
139285,Lídice da Mata,PSB,BA,1123792.56,1800,624.3292,2
141391,Arnaldo Jardim,CIDADANIA,SP,994642.09,1107,898.5023396567299,1
141398,Carlos Zarattini,PT,SP,1072231.8800000001,1750,612.7039314285715,2
141408,Cleber Verde,MDB,MA,1188364.1099999999,239,4972.234769874476,0
141411,Dagoberto Nogueira,PP,MS,1123757.9200000002,479,2346.04993736952,1
141421,Eduardo da Fonte,PP,PE,1153096.21,872,1322.3580389908257,0
